period,respondent,respondent-name,fueltype,type-name,value,value-units,total
2021-12-30T16,CAL,California,SUN,Solar,914,megawatthours,20904
2021-12-30T16,CAL,California,WND,Wind,1071,megawatthours,20904
2021-12-30T15,CAL,California,SUN,Solar,11,megawatthours,19536
2021-12-30T15,CAL,California,WND,Wind,1128,megawatthours,19536
2021-12-30T14,CAL,California,SUN,Solar,-41,megawatthours,18040
2021-12-30T14,CAL,California,WND,Wind,1031,megawatthours,18040
2021-12-30T13,CAL,California,SUN,Solar,-41,megawatthours,16591
2021-12-30T13,CAL,California,WND,Wind,1125,megawatthours,16591
2021-12-30T12,CAL,California,SUN,Solar,-40,megawatthours,15837
2021-12-30T12,CAL,California,WND,Wind,1041,megawatthours,15837
2021-12-30T11,CAL,California,SUN,Solar,-40,megawatthours,15615
2021-12-30T11,CAL,California,WND,Wind,1208,megawatthours,15615
2021-12-30T10,CAL,California,SUN,Solar,-39,megawatthours,15619
2021-12-30T10,CAL,California,WND,Wind,1233,megawatthours,15619
2021-12-30T09,CAL,California,SUN,Solar,-38,megawatthours,16392
2021-12-30T09,CAL,California,WND,Wind,1248,megawatthours,16392
2021-12-30T08,CAL,California,SUN,Solar,-38,megawatthours,17849
2021-12-30T08,CAL,California,WND,Wind,1424,megawatthours,17849
2021-12-30T07,CAL,California,SUN,Solar,-38,megawatthours,19143
2021-12-30T07,CAL,California,WND,Wind,1537,megawatthours,19143
2021-12-30T06,CAL,California,SUN,Solar,-38,megawatthours,21621
2021-12-30T06,CAL,California,WND,Wind,1520,megawatthours,21621
2021-12-30T05,CAL,California,SUN,Solar,-37,megawatthours,24272
2021-12-30T05,CAL,California,WND,Wind,1600,megawatthours,24272
2021-12-30T04,CAL,California,SUN,Solar,-40,megawatthours,25641
2021-12-30T04,CAL,California,WND,Wind,1217,megawatthours,25641
2021-12-30T03,CAL,California,SUN,Solar,-39,megawatthours,26178
2021-12-30T03,CAL,California,WND,Wind,1372,megawatthours,26178
2021-12-30T02,CAL,California,SUN,Solar,-38,megawatthours,26292
2021-12-30T02,CAL,California,WND,Wind,1631,megawatthours,26292
2021-12-30T01,CAL,California,SUN,Solar,-11,megawatthours,26418
2021-12-30T01,CAL,California,WND,Wind,1600,megawatthours,26418
2021-12-30T00,CAL,California,SUN,Solar,795,megawatthours,24750
2021-12-30T00,CAL,California,WND,Wind,1725,megawatthours,24750
2021-12-29T23,CAL,California,SUN,Solar,3384,megawatthours,24739
