period,respondent,respondent-name,fueltype,type-name,value,value-units
2021-02-28T22,CAL,California,WAT,Hydro,471,megawatthours
2021-02-28T22,CAL,California,WND,Wind,1036,megawatthours
2021-02-28T21,CAL,California,COL,Coal,575,megawatthours
2021-02-28T21,CAL,California,NG,Natural Gas,3728,megawatthours
2021-02-28T21,CAL,California,NUC,Nuclear,1147,megawatthours
2021-02-28T21,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T21,CAL,California,OTH,Other,414,megawatthours
2021-02-28T21,CAL,California,SUN,Solar,10284,megawatthours
2021-02-28T21,CAL,California,WAT,Hydro,470,megawatthours
2021-02-28T21,CAL,California,WND,Wind,1123,megawatthours
2021-02-28T20,CAL,California,COL,Coal,576,megawatthours
2021-02-28T20,CAL,California,NG,Natural Gas,3508,megawatthours
2021-02-28T20,CAL,California,NUC,Nuclear,1149,megawatthours
2021-02-28T20,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T20,CAL,California,OTH,Other,491,megawatthours
2021-02-28T20,CAL,California,SUN,Solar,10822,megawatthours
2021-02-28T20,CAL,California,WAT,Hydro,479,megawatthours
2021-02-28T20,CAL,California,WND,Wind,1311,megawatthours
2021-02-28T19,CAL,California,COL,Coal,577,megawatthours
2021-02-28T19,CAL,California,NG,Natural Gas,3646,megawatthours
2021-02-28T19,CAL,California,NUC,Nuclear,1149,megawatthours
2021-02-28T19,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T19,CAL,California,OTH,Other,329,megawatthours
2021-02-28T19,CAL,California,SUN,Solar,11172,megawatthours
2021-02-28T19,CAL,California,WAT,Hydro,443,megawatthours
2021-02-28T19,CAL,California,WND,Wind,1326,megawatthours
2021-02-28T18,CAL,California,COL,Coal,577,megawatthours
2021-02-28T18,CAL,California,NG,Natural Gas,3650,megawatthours
2021-02-28T18,CAL,California,NUC,Nuclear,1148,megawatthours
2021-02-28T18,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T18,CAL,California,OTH,Other,456,megawatthours
2021-02-28T18,CAL,California,SUN,Solar,11394,megawatthours
2021-02-28T18,CAL,California,WAT,Hydro,439,megawatthours
2021-02-28T18,CAL,California,WND,Wind,1663,megawatthours
2021-02-28T17,CAL,California,COL,Coal,578,megawatthours
2021-02-28T17,CAL,California,NG,Natural Gas,4008,megawatthours
2021-02-28T17,CAL,California,NUC,Nuclear,1147,megawatthours
2021-02-28T17,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T17,CAL,California,OTH,Other,470,megawatthours
2021-02-28T17,CAL,California,SUN,Solar,10918,megawatthours
2021-02-28T17,CAL,California,WAT,Hydro,599,megawatthours
2021-02-28T17,CAL,California,WND,Wind,1887,megawatthours
2021-02-28T16,CAL,California,COL,Coal,630,megawatthours
2021-02-28T16,CAL,California,NG,Natural Gas,5141,megawatthours
2021-02-28T16,CAL,California,NUC,Nuclear,1148,megawatthours
